k,models,ids,proxy_route_pass,proxy_route_rate,oracle_pass,oracle_rate,best_single_rate,proxy_vs_best,oracle_headroom,oracle_recovered_frac,proxy_choose_Qwen3-Coder-30B,proxy_choose_Qwen3-32B,proxy_choose_OSS-20B,proxy_choose_OSS-120B,proxy_choose_Qwen3-Coder-Next,proxy_choose_Qwen3-4B,proxy_choose_Qwen3-8B,proxy_choose_Qwen3-14B
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B + OSS-20B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_20b",194,0.388,234,0.468,0.344,0.04400000000000004,0.12400000000000005,0.35483870967741954,,,116,,159,108,117,
3,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-14B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_14b",194,0.388,226,0.452,0.358,0.030000000000000027,0.09400000000000003,0.31914893617021295,172,,,,171,,,157
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B + Qwen3-32B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b",193,0.386,228,0.456,0.334,0.05199999999999999,0.122,0.42622950819672123,,165,,,145,88,102,
4,Qwen3-4B + Qwen3-8B + Qwen3-14B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b,gpt_oss_120b",193,0.386,249,0.498,0.422,-0.035999999999999976,0.07600000000000001,-0.47368421052631543,,,,153,,126,105,116
4,Qwen3-4B + Qwen3-8B + Qwen3-32B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b,gpt_oss_20b",192,0.384,237,0.474,0.344,0.040000000000000036,0.13,0.30769230769230793,,166,90,,,139,105,
3,Qwen3-8B + Qwen3-14B + OSS-120B,"qwen3_8b,qwen3_14b,gpt_oss_120b",192,0.384,243,0.486,0.422,-0.03799999999999998,0.064,-0.5937499999999997,,,,181,,,177,142
4,Qwen3-Coder-Next + Qwen3-8B + Qwen3-14B + Qwen3-32B,"qwen3_coder_next,qwen3_8b,qwen3_14b,qwen3_32b",191,0.382,232,0.464,0.334,0.04799999999999999,0.13,0.36923076923076914,,122,,,156,,111,111
2,Qwen3-8B + OSS-120B,"qwen3_8b,gpt_oss_120b",191,0.382,226,0.452,0.422,-0.03999999999999998,0.030000000000000027,-1.3333333333333315,,,,268,,,232,
3,Qwen3-8B + Qwen3-32B + OSS-20B,"qwen3_8b,qwen3_32b,gpt_oss_20b",190,0.38,227,0.454,0.344,0.03600000000000003,0.11000000000000004,0.32727272727272744,,190,111,,,,199,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b",190,0.38,235,0.47,0.358,0.02200000000000002,0.11199999999999999,0.19642857142857162,140,,,,156,,98,106
2,Qwen3-14B + OSS-20B,"qwen3_14b,gpt_oss_20b",189,0.378,208,0.416,0.344,0.03400000000000003,0.07200000000000001,0.4722222222222226,,,184,,,,,316
3,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b",189,0.378,224,0.448,0.358,0.020000000000000018,0.09000000000000002,0.22222222222222235,194,,,,180,,126,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b",189,0.378,231,0.462,0.358,0.020000000000000018,0.10400000000000004,0.1923076923076924,164,,,,148,85,103,
3,Qwen3-Coder-Next + Qwen3-8B + Qwen3-32B,"qwen3_coder_next,qwen3_8b,qwen3_32b",188,0.376,216,0.432,0.334,0.04199999999999998,0.09799999999999998,0.4285714285714285,,188,,,175,,137,
3,Qwen3-4B + Qwen3-14B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b",188,0.376,211,0.422,0.334,0.04199999999999998,0.08799999999999997,0.47727272727272724,,165,,,,159,,176
2,Qwen3-4B + OSS-120B,"qwen3_4b_instruct_2507,gpt_oss_120b",188,0.376,228,0.456,0.422,-0.045999999999999985,0.03400000000000003,-1.3529411764705865,,,,274,,226,,
3,Qwen3-4B + Qwen3-14B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_20b",187,0.374,218,0.436,0.344,0.030000000000000027,0.09200000000000003,0.3260869565217393,,,145,,,166,,189
4,Qwen3-4B + Qwen3-8B + Qwen3-14B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b,gpt_oss_20b",187,0.374,227,0.454,0.344,0.030000000000000027,0.11000000000000004,0.2727272727272729,,,115,,,140,116,129
3,Qwen3-4B + Qwen3-8B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_120b",185,0.37,236,0.472,0.422,-0.05199999999999999,0.04999999999999999,-1.04,,,,210,,159,131,
3,Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b",184,0.368,215,0.43,0.358,0.010000000000000009,0.07200000000000001,0.138888888888889,242,,,,,89,,169
3,Qwen3-8B + Qwen3-14B + OSS-20B,"qwen3_8b,qwen3_14b,gpt_oss_20b",183,0.366,219,0.438,0.344,0.02200000000000002,0.09400000000000003,0.2340425531914895,,,133,,,,213,154
2,Qwen3-Coder-30B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_14b",183,0.366,207,0.414,0.358,0.008000000000000007,0.055999999999999994,0.142857142857143,297,,,,,,,203
4,Qwen3-4B + Qwen3-8B + Qwen3-14B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b,qwen3_32b",181,0.362,219,0.438,0.334,0.02799999999999997,0.10399999999999998,0.269230769230769,,131,,,,134,114,121
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b",180,0.36,226,0.452,0.358,0.0020000000000000018,0.09400000000000003,0.021276595744680864,207,,,,,74,102,117
2,Qwen3-4B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_32b",179,0.358,189,0.378,0.334,0.023999999999999966,0.043999999999999984,0.5454545454545449,,280,,,,220,,
2,Qwen3-14B + Qwen3-32B,"qwen3_14b,qwen3_32b",179,0.358,197,0.394,0.334,0.023999999999999966,0.06,0.39999999999999947,,205,,,,,,295
3,Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b",179,0.358,220,0.44,0.358,0.0,0.08200000000000002,0.0,242,,,,,,125,133
2,Qwen3-Coder-30B + Qwen3-4B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507",178,0.356,191,0.382,0.358,-0.0020000000000000018,0.02400000000000002,-0.08333333333333333,354,,,,,146,,
3,Qwen3-Coder-Next + Qwen3-4B + Qwen3-14B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_14b",177,0.354,200,0.4,0.276,0.07799999999999996,0.124,0.6290322580645158,,,,,183,122,,195
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B + Qwen3-14B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b",177,0.354,211,0.422,0.276,0.07799999999999996,0.14599999999999996,0.5342465753424656,,,,,164,95,110,131
3,Qwen3-4B + Qwen3-8B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b",176,0.352,203,0.406,0.334,0.01799999999999996,0.07200000000000001,0.24999999999999942,,203,,,,162,135,
3,Qwen3-8B + Qwen3-14B + Qwen3-32B,"qwen3_8b,qwen3_14b,qwen3_32b",173,0.346,205,0.41,0.334,0.011999999999999955,0.07599999999999996,0.15789473684210475,,152,,,,,207,141
2,Qwen3-Coder-Next + Qwen3-14B,"qwen3_coder_next,qwen3_14b",172,0.344,186,0.372,0.276,0.06799999999999995,0.09599999999999997,0.708333333333333,,,,,240,,,260
3,Qwen3-Coder-Next + Qwen3-8B + Qwen3-14B,"qwen3_coder_next,qwen3_8b,qwen3_14b",172,0.344,201,0.402,0.276,0.06799999999999995,0.126,0.5396825396825393,,,,,195,,147,158
3,Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b",172,0.344,205,0.41,0.358,-0.014000000000000012,0.05199999999999999,-0.2692307692307695,262,,,,,104,134,
2,Qwen3-Coder-30B + Qwen3-8B,"qwen3_coder_30b_a3b,qwen3_8b",171,0.342,197,0.394,0.358,-0.01599999999999996,0.03600000000000003,-0.4444444444444429,332,,,,,,168,
2,Qwen3-4B + OSS-20B,"qwen3_4b_instruct_2507,gpt_oss_20b",170,0.34,193,0.386,0.344,-0.003999999999999948,0.04200000000000004,-0.09523809523809391,,,227,,,273,,
3,Qwen3-4B + Qwen3-8B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_20b",170,0.34,207,0.414,0.344,-0.003999999999999948,0.07,-0.0571428571428564,,,155,,,192,153,
2,Qwen3-8B + OSS-20B,"qwen3_8b,gpt_oss_20b",166,0.332,193,0.386,0.344,-0.011999999999999955,0.04200000000000004,-0.28571428571428437,,,196,,,,304,
2,Qwen3-8B + Qwen3-32B,"qwen3_8b,qwen3_32b",165,0.33,184,0.368,0.334,-0.0040000000000000036,0.033999999999999975,-0.1176470588235296,,245,,,,,255,
3,Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b",162,0.324,183,0.366,0.242,0.08200000000000002,0.124,0.6612903225806454,,,,,196,146,158,
3,Qwen3-4B + Qwen3-8B + Qwen3-14B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b",158,0.316,181,0.362,0.276,0.03999999999999998,0.08599999999999997,0.4651162790697674,,,,,,179,150,171
2,Qwen3-Coder-Next + Qwen3-4B,"qwen3_coder_next,qwen3_4b_instruct_2507",153,0.306,159,0.318,0.242,0.064,0.07600000000000001,0.8421052631578946,,,,,277,223,,
2,Qwen3-4B + Qwen3-14B,"qwen3_4b_instruct_2507,qwen3_14b",153,0.306,165,0.33,0.276,0.02999999999999997,0.05399999999999999,0.5555555555555551,,,,,,236,,264
2,Qwen3-Coder-Next + Qwen3-8B,"qwen3_coder_next,qwen3_8b",149,0.298,164,0.328,0.242,0.055999999999999994,0.08600000000000002,0.6511627906976742,,,,,271,,229,
2,Qwen3-8B + Qwen3-14B,"qwen3_8b,qwen3_14b",146,0.292,161,0.322,0.276,0.01599999999999996,0.045999999999999985,0.34782608695652095,,,,,,,285,215
2,Qwen3-4B + Qwen3-8B,"qwen3_4b_instruct_2507,qwen3_8b",124,0.248,135,0.27,0.198,0.04999999999999999,0.07200000000000001,0.6944444444444442,,,,,,277,223,
