lambda_dollar,state_failed_routes,action,value,conditional_p_by_available_route
35,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
35,4B 20B 30B 120B,STOP,0.0,{}
40,none,4B,0.3598646900903667,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
40,4B,20B,0.11978466574305284,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
40,20B,4B,0.056966441641108236,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
40,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
40,30B,4B,0.061845208839963646,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
40,4B 30B,20B,0.007917873998212296,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
40,20B 30B,4B,0.0008849163288136928,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
40,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
40,120B,4B,0.04639036873081782,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
40,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
40,20B 120B,4B,0.007035046391987234,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
40,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
40,30B 120B,4B,0.010618923531175325,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
40,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
40,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
40,4B 20B 30B 120B,STOP,0.0,{}
50,none,4B,0.33726541758678036,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
50,4B,20B,0.09203852448650834,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
50,20B,4B,0.05419621773185867,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
50,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
50,30B,4B,0.051675945980817685,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
50,4B 30B,STOP,0.0,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
50,20B 30B,STOP,0.0,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
50,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
50,120B,4B,0.04362014482156825,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
50,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
50,20B 120B,4B,0.004264822482737667,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
50,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
50,30B 120B,4B,0.007848699621925758,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
50,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
50,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
50,4B 20B 30B 120B,STOP,0.0,{}
75,none,4B,0.28076723632781453,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
75,4B,20B,0.022673171345147153,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
75,20B,4B,0.04727065795873475,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
75,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
75,30B,4B,0.04475038620769377,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
75,4B 30B,STOP,0.0,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
75,20B 30B,STOP,0.0,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
75,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
75,120B,4B,0.036694585048444334,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
75,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
75,20B 120B,STOP,0.0,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
75,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
75,30B 120B,4B,0.0009231398488018377,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
75,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
75,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
75,4B 20B 30B 120B,STOP,0.0,{}
100,none,4B,0.25763807504362995,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
100,4B,STOP,0.0,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
100,20B,4B,0.04034509818561083,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
100,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
100,30B,4B,0.037824826434569844,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
100,4B 30B,STOP,0.0,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
100,20B 30B,STOP,0.0,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
100,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
100,120B,4B,0.02976902527532041,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
100,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
100,20B 120B,STOP,0.0,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
100,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
100,30B 120B,STOP,0.0,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
100,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
100,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
100,4B 20B 30B 120B,STOP,0.0,{}
