method,reward,cost,cost_pct_of_120b,reward_pct_of_120b,label,lambda,source
Direct random,0.327255717,0.0013019821366,9.362,69.330,0.6216*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3784*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.327689093,0.00131415019395,9.450,69.422,0.6172*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3828*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.327936737,0.00132110336958,9.500,69.474,0.6146*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3854*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.328122470,0.0013263182513,9.537,69.513,0.6127*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3873*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.328555847,0.00133848630865,9.625,69.605,0.6083*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3917*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.328989224,0.00135065436601,9.712,69.697,0.6039*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3961*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.329174957,0.00135586924773,9.750,69.736,0.6020*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3980*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.329422601,0.00136282242336,9.800,69.789,0.5995*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4005*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.329855978,0.00137499048071,9.887,69.881,0.5950*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4050*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.330289355,0.00138715853806,9.975,69.972,0.5906*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4094*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.330413177,0.00139063512587,10.000,69.999,0.5894*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4106*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.330722732,0.00139932659541,10.062,70.064,0.5862*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4138*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.331156109,0.00141149465276,10.150,70.156,0.5818*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4182*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.331589486,0.00142366271011,10.238,70.248,0.5773*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4227*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.331651397,0.00142540100402,10.250,70.261,0.5767*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4233*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.332022863,0.00143583076747,10.325,70.340,0.5729*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4271*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.332456240,0.00144799882482,10.412,70.431,0.5685*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4315*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.332889617,0.00146016688217,10.500,70.523,0.5641*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4359*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.333322994,0.00147233493952,10.588,70.615,0.5596*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4404*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.333756370,0.00148450299687,10.675,70.707,0.5552*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4448*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.334127836,0.00149493276031,10.750,70.786,0.5514*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4486*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.334189747,0.00149667105422,10.762,70.799,0.5508*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4492*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.334623124,0.00150883911157,10.850,70.891,0.5463*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4537*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.335056501,0.00152100716892,10.938,70.982,0.5419*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4581*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.335366056,0.00152969863846,11.000,71.048,0.5388*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4612*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.335489878,0.00153317522628,11.025,71.074,0.5375*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4625*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.335923255,0.00154534328363,11.112,71.166,0.5331*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4669*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.336356632,0.00155751134098,11.200,71.258,0.5286*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4714*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.336604276,0.00156446451661,11.250,71.310,0.5261*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4739*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.336790009,0.00156967939833,11.287,71.350,0.5242*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4758*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.337223386,0.00158184745568,11.375,71.441,0.5198*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4802*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.337656763,0.00159401551303,11.462,71.533,0.5154*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4846*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.337842496,0.00159923039476,11.500,71.573,0.5135*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4865*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.338090140,0.00160618357038,11.550,71.625,0.5109*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4891*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.338523517,0.00161835162774,11.637,71.717,0.5065*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4935*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.338956894,0.00163051968509,11.725,71.809,0.5021*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4979*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.339080716,0.0016339962729,11.750,71.835,0.5008*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4992*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.339390270,0.00164268774244,11.812,71.900,0.4977*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5023*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.339823647,0.00165485579979,11.900,71.992,0.4932*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5068*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.340257024,0.00166702385714,11.988,72.084,0.4888*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5112*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.340318935,0.00166876215105,12.000,72.097,0.4882*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5118*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.340690401,0.00167919191449,12.075,72.176,0.4844*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5156*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.341123778,0.00169135997184,12.162,72.268,0.4799*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5201*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.341557155,0.0017035280292,12.250,72.360,0.4755*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5245*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.341990532,0.00171569608655,12.338,72.451,0.4711*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5289*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.342423909,0.0017278641439,12.425,72.543,0.4667*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5333*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.342795375,0.00173829390734,12.500,72.622,0.4629*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5371*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.342857286,0.00174003220125,12.512,72.635,0.4622*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5378*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.343290663,0.0017522002586,12.600,72.727,0.4578*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5422*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.343724040,0.00176436831595,12.687,72.819,0.4534*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5466*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.344033595,0.00177305978549,12.750,72.884,0.4502*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5498*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.344157417,0.0017765363733,12.775,72.910,0.4490*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5510*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.344590794,0.00178870443066,12.863,73.002,0.4445*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5555*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.345024171,0.00180087248801,12.950,73.094,0.4401*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5599*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.345271814,0.00180782566364,13.000,73.146,0.4376*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5624*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.345457547,0.00181304054536,13.037,73.186,0.4357*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5643*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.345890924,0.00182520860271,13.125,73.278,0.4313*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5687*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.346324301,0.00183737666006,13.213,73.369,0.4268*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5732*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.346510034,0.00184259154178,13.250,73.409,0.4249*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5751*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.346757678,0.00184954471741,13.300,73.461,0.4224*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5776*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.347191055,0.00186171277476,13.387,73.553,0.4180*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5820*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.347624432,0.00187388083212,13.475,73.645,0.4136*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5864*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.347748254,0.00187735741993,13.500,73.671,0.4123*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5877*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.348057809,0.00188604888947,13.562,73.737,0.4091*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5909*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.348491186,0.00189821694682,13.650,73.829,0.4047*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5953*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.348924563,0.00191038500417,13.738,73.920,0.4003*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5997*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.348986474,0.00191212329808,13.750,73.933,0.3996*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6004*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.349357940,0.00192255306152,13.825,74.012,0.3958*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6042*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.349791317,0.00193472111887,13.912,74.104,0.3914*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6086*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.350224694,0.00194688917622,14.000,74.196,0.3870*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6130*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.350658071,0.00195905723358,14.087,74.288,0.3826*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6174*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.351091447,0.00197122529093,14.175,74.379,0.3781*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6219*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.351462913,0.00198165505437,14.250,74.458,0.3743*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6257*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.351524824,0.00198339334828,14.262,74.471,0.3737*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6263*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.351958201,0.00199556140563,14.350,74.563,0.3693*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6307*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.352391578,0.00200772946298,14.438,74.655,0.3649*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6351*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.352701133,0.00201642093252,14.500,74.720,0.3617*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6383*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.352824955,0.00201989752033,14.525,74.747,0.3604*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6396*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.353258332,0.00203206557768,14.612,74.838,0.3560*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6440*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.353691709,0.00204423363503,14.700,74.930,0.3516*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6484*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.353939353,0.00205118681066,14.750,74.983,0.3490*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6510*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.354125086,0.00205640169239,14.787,75.022,0.3472*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6528*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.354558463,0.00206856974974,14.875,75.114,0.3427*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6573*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.354991840,0.00208073780709,14.962,75.206,0.3383*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6617*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.355177573,0.00208595268881,15.000,75.245,0.3364*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6636*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.355425217,0.00209290586444,15.050,75.297,0.3339*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6661*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.355858594,0.00210507392179,15.137,75.389,0.3294*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6706*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.356291971,0.00211724197914,15.225,75.481,0.3250*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6750*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.356415793,0.00212071856696,15.250,75.507,0.3238*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6762*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.356725348,0.00212941003649,15.312,75.573,0.3206*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6794*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.357158724,0.00214157809385,15.400,75.665,0.3162*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6838*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.357592101,0.0021537461512,15.488,75.757,0.3117*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6883*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.357654012,0.0021554844451,15.500,75.770,0.3111*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6889*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.358025478,0.00216591420855,15.575,75.848,0.3073*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6927*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.358458855,0.0021780822659,15.662,75.940,0.3029*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6971*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.358892232,0.00219025032325,15.750,76.032,0.2985*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7015*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.359325609,0.0022024183806,15.837,76.124,0.2940*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7060*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.359758986,0.00221458643795,15.925,76.216,0.2896*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7104*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.360130452,0.0022250162014,16.000,76.294,0.2858*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7142*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.360192363,0.00222675449531,16.012,76.307,0.2852*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7148*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.360625740,0.00223892255266,16.100,76.399,0.2808*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7192*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.361059117,0.00225109061001,16.188,76.491,0.2763*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7237*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.361368672,0.00225978207955,16.250,76.557,0.2732*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7268*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.361492494,0.00226325866736,16.275,76.583,0.2719*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7281*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.361925871,0.00227542672471,16.363,76.675,0.2675*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7325*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.362359248,0.00228759478206,16.450,76.766,0.2630*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7370*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.362606892,0.00229454795769,16.500,76.819,0.2605*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7395*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.362792624,0.00229976283941,16.538,76.858,0.2586*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7414*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.363226001,0.00231193089677,16.625,76.950,0.2542*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7458*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.363659378,0.00232409895412,16.712,77.042,0.2498*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7502*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.363845111,0.00232931383584,16.750,77.081,0.2479*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7521*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.364092755,0.00233626701147,16.800,77.134,0.2453*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7547*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.364526132,0.00234843506882,16.887,77.226,0.2409*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7591*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.364959509,0.00236060312617,16.975,77.317,0.2365*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7635*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.365083331,0.00236407971399,17.000,77.344,0.2352*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7648*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.365392886,0.00237277118352,17.062,77.409,0.2321*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7679*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.365826263,0.00238493924087,17.150,77.501,0.2276*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7724*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.366259640,0.00239710729823,17.238,77.593,0.2232*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7768*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.366321551,0.00239884559213,17.250,77.606,0.2226*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7774*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.366693017,0.00240927535558,17.325,77.685,0.2188*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7812*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.367126394,0.00242144341293,17.413,77.776,0.2144*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7856*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.367559771,0.00243361147028,17.500,77.868,0.2099*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7901*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.367993148,0.00244577952763,17.587,77.960,0.2055*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7945*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.368426525,0.00245794758498,17.675,78.052,0.2011*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7989*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.368797990,0.00246837734843,17.750,78.131,0.1973*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8027*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.368859901,0.00247011564233,17.763,78.144,0.1966*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8034*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.369293278,0.00248228369969,17.850,78.235,0.1922*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8078*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.369726655,0.00249445175704,17.937,78.327,0.1878*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8122*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.370036210,0.00250314322657,18.000,78.393,0.1846*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8154*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.370160032,0.00250661981439,18.025,78.419,0.1834*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8166*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.370593409,0.00251878787174,18.112,78.511,0.1789*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8211*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.371026786,0.00253095592909,18.200,78.603,0.1745*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8255*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.371274430,0.00253790910472,18.250,78.655,0.1720*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8280*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.371460163,0.00254312398644,18.288,78.695,0.1701*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8299*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.371893540,0.00255529204379,18.375,78.786,0.1657*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8343*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.372326917,0.00256746010115,18.463,78.878,0.1612*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8388*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.372512650,0.00257267498287,18.500,78.917,0.1593*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8407*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.372760294,0.0025796281585,18.550,78.970,0.1568*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8432*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.373193671,0.00259179621585,18.637,79.062,0.1524*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8476*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.373627048,0.0026039642732,18.725,79.154,0.1480*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8520*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.373750870,0.00260744086101,18.750,79.180,0.1467*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8533*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.374060425,0.00261613233055,18.812,79.245,0.1435*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8565*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.374493801,0.0026283003879,18.900,79.337,0.1391*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8609*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.374927178,0.00264046844525,18.988,79.429,0.1347*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8653*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.374989089,0.00264220673916,19.000,79.442,0.1340*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8660*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.375360555,0.0026526365026,19.075,79.521,0.1302*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8698*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.375793932,0.00266480455996,19.163,79.613,0.1258*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8742*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.376227309,0.00267697261731,19.250,79.704,0.1214*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8786*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.376660686,0.00268914067466,19.338,79.796,0.1170*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8830*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.377094063,0.00270130873201,19.425,79.888,0.1125*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8875*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.377465529,0.00271173849545,19.500,79.967,0.1087*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8913*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.377527440,0.00271347678936,19.512,79.980,0.1081*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8919*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.377960817,0.00272564484671,19.600,80.072,0.1037*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8963*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.378394194,0.00273781290406,19.688,80.164,0.0993*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9007*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.378703749,0.0027465043736,19.750,80.229,0.0961*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9039*solver:openai/gpt-oss-20b,,computed_convex_hull
