policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_true_cost,mean_true_utility,choice_counts_by_route,called_counts_by_route,cascade_order,cascade_order_labels
oracle_after_primary_utility_weighted,oracle_after_primary,30.0,output_tokens,after_primary,0.5559440559440559,0.0013743898356643359,0.5147123608741259,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,30.0,output_tokens,direct,0.5559440559440559,0.0012962475349650349,0.5170566298951049,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,30.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5138888758041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,30.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.07573310986013992,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,35.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.28104566115384616,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,35.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.2505883552447552,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,35.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-0.014694322027971884,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,35.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.2827388021853146,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,35.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2825864495629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,35.0,output_tokens,after_primary,0.4230769230769231,0.011586646888111885,0.017544281993007116,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 200, ""solver:openai/gpt-oss-20b"": 2}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,35.0,output_tokens,after_primary,0.5559440559440559,0.0013743898356643359,0.5078404116958042,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,35.0,output_tokens,direct,0.5559440559440559,0.0012962475349650349,0.5105753922202797,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,35.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5062969285314686,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,35.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.01725972374125878,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,40.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2797364998601399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,40.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.2289441342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,40.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-0.08422607832167822,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,40.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.2676855041958041,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,40.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.26801088741258744,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,40.0,output_tokens,after_primary,0.4230769230769231,0.01157008765384615,-0.03972658307692295,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 199, ""solver:openai/gpt-oss-20b"": 3}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,40.0,output_tokens,after_primary,0.5559440559440559,0.0013743898356643359,0.5009684625174825,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,40.0,output_tokens,direct,0.5559440559440559,0.0012962475349650349,0.5040941545454546,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,40.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.4987049812587413,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,40.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,-0.04121366237762231,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,50.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.27711817727272725,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,50.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.18565569230769224,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,50.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-0.22328959090909067,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,50.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.23757890821678312,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,50.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2388597631118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,50.0,output_tokens,after_primary,0.4195804195804196,0.01151035998251748,-0.1559375795454544,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 197, ""solver:openai/gpt-oss-20b"": 5}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,50.0,output_tokens,after_primary,0.5559440559440559,0.0013743898356643359,0.48722456416083915,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,50.0,output_tokens,direct,0.5559440559440559,0.0012962475349650349,0.4911316791958042,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,50.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.48352108671328675,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,50.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,-0.15816043461538454,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,75.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,75.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.07743458741258735,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,75.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-0.5709483723776221,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,75.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.16231241826923062,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,75.0,output_tokens,sequential_cascade,0.2902097902097902,0.0002618322587412587,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,75.0,output_tokens,after_primary,0.4195804195804196,0.011438386374125871,-0.4382985584790208,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 194, ""solver:openai/gpt-oss-20b"": 8}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,75.0,output_tokens,after_primary,0.5384615384615384,0.0010875201503496505,0.4568975271853146,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 215, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:openai/gpt-oss-120b"": 8, ""solver:openai/gpt-oss-20b"": 41}",,,
oracle_direct_utility_weighted,oracle_direct,75.0,output_tokens,direct,0.5384615384615384,0.0010137947447552448,0.4624269326048951,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 215, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:openai/gpt-oss-120b"": 8, ""solver:openai/gpt-oss-20b"": 41}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,75.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.4455613503496504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,75.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,-0.4505273652097901,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,100.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.26402656433566435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,100.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,-0.030786517482517595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,100.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-0.9186071538461533,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,100.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.08704592832167812,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,100.0,output_tokens,sequential_cascade,0.2902097902097902,0.0002618322587412587,0.26402656433566435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,100.0,output_tokens,after_primary,0.4195804195804196,0.011438386374125871,-0.7242582178321675,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 194, ""solver:openai/gpt-oss-20b"": 8}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,100.0,output_tokens,after_primary,0.5244755244755245,0.000913798751748252,0.43309564930069927,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 219, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 41}",,,
oracle_direct_utility_weighted,oracle_direct,100.0,output_tokens,direct,0.5244755244755245,0.0008451209755244759,0.4399634269230769,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 218, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,100.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.407601613986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,100.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,-0.7428942958041956,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,150.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2509349513986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,150.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,-0.24722872727272738,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,150.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-1.6139247167832163,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,150.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,-0.06348705157342688,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,150.0,output_tokens,sequential_cascade,0.2902097902097902,0.0002618322587412587,0.2509349513986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,150.0,output_tokens,after_primary,0.4125874125874126,0.01127994349300699,-1.279404111363636,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 188, ""solver:openai/gpt-oss-20b"": 14}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,150.0,output_tokens,after_primary,0.506993006993007,0.0007744310244755246,0.3908283533216783,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 224, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 20, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 41}",,,
oracle_direct_utility_weighted,oracle_direct,150.0,output_tokens,direct,0.5104895104895105,0.0007332368776223777,0.40050397884615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 222, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,150.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.33168214125874135,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,150.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,-1.3276281569930068,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,200.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2378433384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,200.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,-0.46367093706293727,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,200.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,-2.3092422797202787,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
